"","G1Sample1","G1Sample2","G1Sample3","G1Sample4","G1Sample5","G1Sample6","G1Sample7","G1Sample8","G1Sample9","G1Sample10","G1Sample11","G1Sample12","G1Sample13","G1Sample14","G1Sample15","G1Sample16","G1Sample17","G1Sample18","G1Sample19","G1Sample20","G1Sample21","G1Sample22"
"Feature68",0.496382704,0.983008262,0.747125915,0.023005844,0.055486211,0.434120973,0.192083275,0.224428839,0.578852096,0.358569503,0.576323439,0.826557608,0.862928746,0.594293467,0.986951,0.179217511,0.972063216,0.989673,0.644603261,0.577492252,0.20137445,0.163165628
"Feature69",0.249941195,0.710570336,0.197907964,0.302618752,0.297739765,0.212592014,0.739551612,0.080450486,0.57859416,0.627874244,0.253401594,0.313743955,0.546590285,0.363008047,0.133294136,0.616823112,0.943710306,0.986879,0.257223277,0.629891091,0.53546016,0.184168181
"Feature70",0.311155316,0.280909349,0.269342531,0.349839186,0.347196942,0.395822937,0.722314031,0.130711007,0.911858312,0.548331797,0.680172023,0.383978727,0.571925116,0.751191168,0.285960491,0.648123092,0.889117678,0.998881,0.819939431,0.449839405,0.442345242,0.225404808
"Feature71",0.300834473,0.283773182,0.271334528,0.348629922,0.349325694,0.405967729,0.726562555,0.129403446,0.903394732,0.553515385,0.678336982,0.38875526,0.575331415,0.761808646,0.28338368,0.656640808,0.896094921,0.997762,0.827532203,0.441043355,0.441534248,0.225203436
"Feature72",0.285200168,0.515923003,0.361775284,0.465895102,0.646146069,0.041693053,0.10616954,0.295094524,0.87798595,0.837063999,0.739173825,0.660007616,0.908451967,0.631027081,0.986358,0.811133287,0.666312292,0.993362,0.456401451,0.688524616,0.783278144,0.815497709
"Feature73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature75",0.622970677,0.953054239,0.987530865,0.863097931,0.834991374,0.886958954,0.524239473,0.7558189,0.73915456,0.630164994,0.784463467,0.836882665,0.815058076,0.614118504,0.998252,0.356125097,0.66598944,0.980907,0.442446706,0.323501877,0.821192978,0.393958239
"Feature76",0.89239921,0.556308134,0.451531395,0.955934709,0.475075596,0.61195345,0.109663161,0.583826841,0.595445141,0.578878926,0.839871191,0.486315364,0.416507653,0.466903229,0.806324177,0.638616073,0.750095679,0.990895,0.510985645,0.42623697,0.061800454,0.057974977
"Feature77",0.313024109,0.261130479,0.55273673,0.351348654,0.346817897,0.257835643,0.275080041,0.248886992,0.718233155,0.45585258,0.678424743,0.590834761,0.387889231,0.595062011,0.557499229,0.576095704,0.73864534,0.997075,0.779880878,0.62879858,0.80541803,0.371904328
"Feature78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature79",0.714270922,0.606540073,0.650497929,0.680693176,0.73267963,0.739052822,0.74736838,0.640402342,0.659566596,0.658262465,0.720066274,0.800353188,0.797441763,0.713968599,0.985097,0.798943985,0.976926594,0.979987,0.850506953,0.771436735,0.786909547,0.986482297
"Feature80",0.830448979,0.741474226,0.339347016,0.40234092,0.957621071,0.53509002,0.353113418,0.304997877,0.744107965,0.325037141,0.775057636,0.528003901,0.77615572,0.533001507,0.98159,0.458008737,0.92100069,0.990742,0.500710814,0.857189101,0.463201061,0.901606166
"Feature81",0.849368909,0.641789339,0.369897724,0.440120415,0.960485439,0.642612818,0.358885741,0.317605919,0.708043385,0.339927984,0.78264899,0.539428501,0.695112959,0.39307834,0.977974,0.472604246,0.914253735,0.984575,0.50896516,0.860965067,0.476392062,0.509331967
"Feature82",0.555139734,0.479280129,0.568470002,0.691904468,0.663204805,0.559259004,0.579067791,0.828440598,0.985278924,0.750076843,0.490727306,0.495436408,0.605447758,0.664560826,0.997976,0.967824873,0.858213143,0.993852,0.600517319,0.93433888,0.584544986,0.526683792
"Feature83",0.794271294,0.448982874,0.521531649,0.61026601,0.72681168,0.267553153,0.782539754,0.259678715,0.819005222,0.202723413,0.248481821,0.870738923,0.661541753,0.610845668,0.994349,0.81343819,0.600491104,0.996136,0.804735531,0.332326571,0.95778925,0.366909314
"Feature84",0.611152845,0.738126405,0.657186015,0.673551846,0.674347457,0.637184173,0.876325157,0.523900512,0.89592818,0.482558652,0.825502855,0.562440964,0.560218409,0.478932691,0.903245585,0.722449334,0.526843626,0.981016,0.602362497,0.836671606,0.574462422,0.554887659
"Feature85",0.954026512,0.936504032,0.928482528,0.966302814,0.962208446,0.950700059,0.949274935,0.922525068,0.980285596,0.928176606,0.942146509,0.954465733,0.970509949,0.946101732,0.993758025,0.958658238,0.962139193,0.980086,0.972282421,0.949337297,0.947666616,0.961998041
"Feature86",0.786674548,0.956862298,0.642190437,0.701182524,0.257496477,0.808627965,0.195364943,0.611171318,0.699335422,0.468283392,0.507430266,0.516728277,0.451455546,0.468603341,0.108419507,0.826297412,0.756506617,0.98592,0.457157027,0.902194249,0.613314034,0.22393254
"Feature87",0.393096479,0.936454871,0.935368908,0.978081267,0.668868405,0.324706008,0.37571748,0.802898327,0.941582578,0.741701797,0.865237856,0.558949883,0.653297186,0.568863616,0.283085271,0.822735669,0.890862872,0.989274,0.296350105,0.80012195,0.439961147,0.233598134
"Feature88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature89",0.149399573,0.386102626,0.462946374,0.384089757,0.274102637,0.119557022,0.111616582,0.173361054,0.354768951,0.447963854,0.372460248,0.367453176,0.210667381,0.71504408,0.984471065,0.148096042,0.610196531,0.991269,0.527332079,0.465573855,0.434157735,0.191129909
"Feature90",0.48908872,0.830583578,0.951644444,0.268154151,0.18902214,0.628062389,0.266646583,0.253108643,0.943024645,0.867186922,0.890883578,0.384305236,0.683560355,0.672602976,0.985641,0.87989006,0.957758381,0.986241,0.749224065,0.773239881,0.958246913,0.382092048
"Feature91",0.497888336,0.284950064,0.256580492,0.293715519,0.7381956,0.188694672,0.259682338,0.276848499,0.74461688,0.283483482,0.824975855,0.82945271,0.723328387,0.613244031,0.988613129,0.491828089,0.406323698,0.529995308,0.360122814,0.739460795,0.246452696,0.576648383
"Feature92",0.738226017,0.91430759,0.166912301,0.674049554,0.152598105,0.915597822,0.058043042,0.391783391,0.321922653,0.259051305,0.721085206,0.602254933,0.935241071,0.614001874,0.999513,0.370392991,0.500245237,0.985499065,0.664774188,0.590091723,0.34616054,0.435209108
"Feature93",0.769923533,0.698776174,0.976839092,0.985654788,0.834320449,0.777805398,0.786954015,0.656516561,0.59313183,0.613369483,0.648284115,0.990752095,0.822829213,0.659322228,0.901790073,0.781102432,0.947111351,0.976924,0.979846346,0.937744492,0.765954015,0.806426744
"Feature94",0.341290242,0.92695542,0.340116318,0.49821618,0.479141701,0.386402483,0.420001415,0.610549054,0.370180842,0.370713311,0.401807405,0.944793934,0.635134271,0.718153633,0.996383,0.925800275,0.602632592,0.996262,0.731865949,0.606450542,0.917392578,0.624233518
"Feature95",0.35159623,0.949039472,0.299417196,0.719846641,0.033705895,0.026715394,0.341990162,0.428103064,0.24407011,0.722903717,0.353363688,0.840564169,0.314977601,0.727527785,0.959370229,0.628471916,0.705428701,0.97764,0.176936421,0.726019417,0.140195223,0.414345389
"Feature96",0.287756668,0.958567283,0.324442299,0.63888829,0.035244225,0.027139357,0.361411541,0.418855448,0.288134318,0.748624487,0.270599333,0.822397569,0.236157741,0.758550598,0.986811435,0.622130746,0.698119576,0.992163,0.184142493,0.696706338,0.241803637,0.375835544
"Feature97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature98",0.826647844,0.754092633,0.807569289,0.807360015,0.856806719,0.850652191,0.860943578,0.786585234,0.793114692,0.78976823,0.789970478,0.842614112,0.878821127,0.923504644,0.984218999,0.840742342,0.971385758,0.986276,0.900929748,0.862088832,0.972884132,0.868083508
"Feature99",0.470210338,0.248580675,0.948548608,0.149281026,0.887225575,0.267771538,0.665464418,0.252062053,0.441578247,0.628975883,0.514762157,0.236649949,0.519527594,0.191393034,0.983859,0.758339877,0.867498208,0.986938,0.324862228,0.205677293,0.722669059,0.257565642
"Feature100",0.418433921,0.526567635,0.410926414,0.458584858,0.475851653,0.466830354,0.471796323,0.319186126,0.892070308,0.351751783,0.592501488,0.85176902,0.614936024,0.75971455,0.984397,0.933305727,0.928142894,0.986044,0.611754423,0.841571421,0.977159355,0.610884436
